Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,-127,932,402,17.65,23,402.0,0.0984,366.0,212.25,1
Resistance,52,869,460,13.61,16,460.0,0.2568,366.0,59.96,2
Resistance,132,878,505,12.43,16,505.0,0.3798,366.0,41.05,3
Resistance,139,1107,623,16.14,13,623.0,0.7022,366.0,18.25,4
Resistance,43,1051,547,16.81,5,547.0,0.4945,366.0,9.91,5
Resistance,387,955,671,9.46,4,671.0,0.8333,366.0,4.74,6
Resistance,641,854,748,3.54,2,748.0,1.0437,366.0,1.9,7
Support,155,548,352,6.54,5,352.0,0.0383,366.0,103.62,1
Support,1,519,260,8.63,31,260.0,0.2896,366.0,103.47,2
Support,-3,367,182,6.17,39,182.0,0.5027,366.0,76.06,3
Support,-97,684,294,13.02,9,294.0,0.1967,366.0,43.54,4
Support,-41,473,216,8.56,12,216.0,0.4098,366.0,28.58,5
Support,86,383,234,4.95,8,234.0,0.3607,366.0,21.58,6
Support,-69,358,144,7.13,5,144.0,0.6066,366.0,8.11,7
