Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,-472,2843,1186,55.26,27,1186.0,0.0782,1100.0,306.19,1
Resistance,265,2520,1392,37.59,40,1392.0,0.2655,1100.0,145.21,2
Resistance,456,2608,1532,35.86,36,1532.0,0.3927,1100.0,89.39,3
Resistance,156,3187,1672,50.53,18,1672.0,0.52,1100.0,33.96,4
Resistance,941,2740,1840,29.98,21,1840.0,0.6727,1100.0,30.76,5
Resistance,789,3088,1939,38.32,12,1939.0,0.7627,1100.0,15.53,6
Resistance,212,4143,2178,65.51,4,2178.0,0.98,1100.0,4.04,7
Support,535,1518,1027,16.38,13,1027.0,0.0664,1100.0,170.24,1
Support,643,1505,1074,14.36,4,1074.0,0.0236,1100.0,118.92,2
Support,383,1559,971,19.59,8,971.0,0.1173,1100.0,62.86,3
Support,174,1440,807,21.1,5,807.0,0.2664,1100.0,18.09,4
Support,796,1009,902,3.54,2,902.0,0.18,1100.0,10.53,5
Support,296,1144,720,14.14,2,720.0,0.3455,1100.0,5.63,6
Support,605,605,605,0.0,1,605.0,0.45,1100.0,2.17,7
