Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,657,4713,2685,67.61,8,2685.0,0.0367,2590.0,171.38,1
Resistance,1437,4414,2926,49.61,18,2926.0,0.1297,2590.0,128.82,2
Resistance,1939,4262,3101,38.72,12,3101.0,0.1973,2590.0,57.89,3
Resistance,2205,4279,3242,34.58,10,3242.0,0.2517,2590.0,38.21,4
Resistance,1208,6330,3769,85.36,9,3769.0,0.4552,2590.0,19.35,5
Resistance,2053,4783,3418,45.5,5,3418.0,0.3197,2590.0,15.17,6
Resistance,3152,4818,3985,27.77,8,3985.0,0.5386,2590.0,14.58,7
Resistance,2296,6028,4162,62.21,5,4162.0,0.6069,2590.0,8.1,8
Support,52,4799,2425,79.12,13,2425.0,0.0637,2590.0,176.38,1
Support,-134,2416,1141,42.49,39,1141.0,0.5595,2590.0,68.49,2
Support,867,3486,2176,43.65,11,2176.0,0.1598,2590.0,64.76,3
Support,-600,3222,1311,63.71,29,1311.0,0.4938,2590.0,57.56,4
Support,-796,4625,1914,90.34,7,1914.0,0.261,2590.0,25.83,5
Support,-440,3654,1607,68.24,10,1607.0,0.3795,2590.0,25.67,6
Support,-926,2830,952,62.6,13,952.0,0.6324,2590.0,20.24,7
Support,-2808,4193,692,116.67,2,692.0,0.7328,2590.0,2.69,8
