Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,1134,1289,1212,2.58,6,1212.0,0.0058,1205.0,379.53,1
Resistance,916,1564,1240,10.8,13,1240.0,0.029,1205.0,332.94,2
Resistance,856,1717,1287,14.35,15,1287.0,0.068,1205.0,192.19,3
Resistance,973,1674,1323,11.69,6,1323.0,0.0979,1205.0,55.59,4
Resistance,986,1738,1362,12.55,5,1362.0,0.1303,1205.0,35.64,5
Resistance,1068,1752,1410,11.4,6,1410.0,0.1701,1205.0,33.31,6
Resistance,1330,1677,1503,5.77,3,1503.0,0.2473,1205.0,11.66,7
Resistance,1465,1465,1465,0.0,1,1465.0,0.2158,1205.0,4.43,8
Resistance,1550,1550,1550,0.0,1,1550.0,0.2863,1205.0,3.37,9
Support,753,1615,1184,14.36,22,1184.0,0.0174,1205.0,802.12,1
Support,-116,2109,997,37.08,27,997.0,0.1726,1205.0,147.85,2
Support,500,1735,1117,20.59,7,1117.0,0.073,1205.0,84.31,3
Support,-229,1001,386,20.51,26,386.0,0.6797,1205.0,37.7,4
Support,-440,1375,468,30.24,21,468.0,0.6116,1205.0,33.78,5
Support,-541,1822,640,39.4,12,640.0,0.4689,1205.0,25.06,6
Support,-522,1125,301,27.45,17,301.0,0.7502,1205.0,22.36,7
Support,42,1690,866,27.46,6,866.0,0.2813,1205.0,20.6,8
Support,69,1469,769,23.33,6,769.0,0.3618,1205.0,16.14,9
