Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,468,1124,796,10.94,21,796.0,0.0338,770.0,479.82,1
Resistance,585,1148,866,9.37,21,866.0,0.1247,770.0,155.93,2
Resistance,619,1036,828,6.96,13,828.0,0.0753,770.0,152.36,3
Resistance,472,1347,910,14.57,11,910.0,0.1818,770.0,57.35,4
Resistance,506,1497,1001,16.52,4,1001.0,0.3,770.0,12.9,5
Resistance,634,3006,1820,39.53,5,1820.0,1.3636,770.0,3.64,6
Resistance,-209,3082,1437,54.85,3,1437.0,0.8662,770.0,3.42,7
Resistance,1135,1135,1135,0.0,1,1135.0,0.474,770.0,2.07,8
Resistance,1605,1605,1605,0.0,1,1605.0,1.0844,770.0,0.91,9
Support,434,1064,749,10.51,18,749.0,0.0273,770.0,482.93,1
Support,334,1077,706,12.37,8,706.0,0.0831,770.0,85.91,2
Support,208,1052,630,14.07,14,630.0,0.1818,770.0,72.99,3
Support,349,972,660,10.39,10,660.0,0.1429,770.0,65.42,4
Support,147,606,377,7.65,17,377.0,0.5104,770.0,32.67,5
Support,196,791,494,9.91,6,494.0,0.3584,770.0,16.28,6
Support,-7,898,445,15.09,7,445.0,0.4221,770.0,16.2,7
Support,-172,1267,548,23.98,4,548.0,0.2883,770.0,13.41,8
Support,128,525,326,6.61,4,326.0,0.5766,770.0,6.82,9
