Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,471,0,0,0,1.0,1.0,1.0,1.0
AKRA,462,9,0,0,0.9809,0.9809,1.0,0.9904
APEX,471,0,0,0,1.0,1.0,1.0,1.0
ARII,471,0,0,0,1.0,1.0,1.0,1.0
BULL,463,3,2,3,0.9894,0.9936,0.9957,0.9946
BUMI,450,7,4,10,0.9766,0.9847,0.9912,0.9879
DEWA,188,3,84,196,0.8153,0.9843,0.6912,0.8121
DOID,339,12,41,79,0.8875,0.9658,0.8921,0.9275
ELSA,445,26,0,0,0.9448,0.9448,1.0,0.9716
ENRG,357,3,38,73,0.913,0.9917,0.9038,0.9457
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,471,0,0,0,1.0,1.0,1.0,1.0
INDY,471,0,0,0,1.0,1.0,1.0,1.0
ITMA,392,7,17,55,0.949,0.9825,0.9584,0.9703
ITMG,471,0,0,0,1.0,1.0,1.0,1.0
KKGI,471,0,0,0,1.0,1.0,1.0,1.0
MBSS,444,21,1,5,0.9533,0.9548,0.9978,0.9758
MEDC,468,3,0,0,0.9936,0.9936,1.0,0.9968
PGAS,471,0,0,0,1.0,1.0,1.0,1.0
PTBA,471,0,0,0,1.0,1.0,1.0,1.0
RUIS,468,3,0,0,0.9936,0.9936,1.0,0.9968
SOCI,458,3,4,6,0.9851,0.9935,0.9913,0.9924
TCPI,471,0,0,0,1.0,1.0,1.0,1.0
TEBE,375,15,31,50,0.9023,0.9615,0.9236,0.9422
TPMA,471,0,0,0,1.0,1.0,1.0,1.0
WINS,471,0,0,0,1.0,1.0,1.0,1.0
