Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,191,9,87,184,0.7962,0.955,0.6871,0.7992
AKRA,68,21,133,249,0.673,0.764,0.3383,0.469
APEX,400,4,26,41,0.9363,0.9901,0.939,0.9639
ARII,395,31,20,25,0.8917,0.9272,0.9518,0.9394
BULL,224,10,106,131,0.7537,0.9573,0.6788,0.7943
BUMI,272,20,55,124,0.8408,0.9315,0.8318,0.8788
DEWA,105,22,117,227,0.7049,0.8268,0.473,0.6017
DOID,143,17,109,202,0.7325,0.8938,0.5675,0.6942
ELSA,111,26,129,205,0.6709,0.8102,0.4625,0.5889
ENRG,182,26,92,171,0.7495,0.875,0.6642,0.7552
FIRE,471,0,0,0,1.0,1.0,1.0,1.0
HRUM,242,15,79,135,0.8004,0.9416,0.7539,0.8374
INDY,308,18,47,98,0.862,0.9448,0.8676,0.9046
ITMA,25,4,145,295,0.6823,0.8621,0.1471,0.2513
ITMG,446,15,4,6,0.9597,0.9675,0.9911,0.9791
KKGI,297,10,62,102,0.8471,0.9674,0.8273,0.8919
MBSS,31,15,168,257,0.6115,0.6739,0.1558,0.2531
MEDC,130,18,112,211,0.724,0.8784,0.5372,0.6667
PGAS,56,7,138,270,0.6921,0.8889,0.2887,0.4358
PTBA,266,27,76,102,0.7813,0.9078,0.7778,0.8378
RUIS,138,20,119,194,0.7049,0.8734,0.537,0.6651
SOCI,246,35,80,110,0.7558,0.8754,0.7546,0.8105
TCPI,247,24,79,121,0.7813,0.9114,0.7577,0.8275
TEBE,121,23,153,174,0.6263,0.8403,0.4416,0.5789
TPMA,234,25,117,95,0.6985,0.9035,0.6667,0.7672
WINS,215,21,93,142,0.758,0.911,0.6981,0.7904
