Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,63,63,63,0.0,1
Resistance,65,67,66,1.06,5
Resistance,69,70,70,0.78,3
Resistance,71,73,72,1.0,3
Resistance,74,76,75,0.84,8
Resistance,78,79,78,0.74,8
Resistance,80,81,81,0.59,4
Resistance,84,86,85,0.84,4
Resistance,90,92,91,1.41,2
Resistance,97,97,97,0.0,1
Support,50,50,50,0.0,3
Support,51,51,51,0.0,4
Support,52,52,52,0.0,1
Support,53,53,53,0.0,4
Support,55,55,55,0.0,3
Support,56,56,56,0.0,1
Support,57,57,57,0.0,2
Support,59,59,59,0.0,2
Support,60,60,60,0.0,1
