Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,188,286,237,48.7,30
Resistance,860,999,930,69.38,22
Resistance,1199,1318,1258,59.57,14
Resistance,1430,1558,1494,63.82,28
Resistance,1698,1845,1772,73.15,25
Resistance,2007,2337,2172,164.91,9
Resistance,2726,3114,2920,194.42,4
Resistance,3572,3727,3649,77.4,12
Resistance,3966,4374,4170,204.06,6
Resistance,7070,7105,7087,17.68,2
Support,105,105,105,0.0,1
Support,124,124,124,0.0,1
Support,130,130,130,0.0,1
Support,133,133,133,0.0,1
Support,135,135,135,0.0,1
Support,145,145,145,0.0,1
Support,157,157,157,0.0,2
Support,160,160,160,0.0,2
Support,165,165,165,0.0,1
