Type,Min,Max,Centroid_Price,Std_Internal,Strength
Resistance,374,392,383,9.25,11
Resistance,408,424,416,8.35,13
Resistance,440,453,447,6.55,7
Resistance,462,477,470,7.42,10
Resistance,491,502,496,5.64,10
Resistance,514,532,523,8.8,9
Resistance,561,588,574,13.86,3
Resistance,612,638,625,12.76,12
Resistance,662,682,672,10.37,4
Resistance,743,750,747,3.39,2
Support,138,151,144,6.84,5
Support,166,175,171,4.33,3
Support,178,184,181,2.92,32
Support,191,201,196,4.99,9
Support,218,224,221,2.62,9
Support,230,236,233,3.11,7
Support,248,255,252,3.53,17
Support,266,275,270,4.85,18
Support,295,308,301,6.59,6
Support,347,361,354,7.07,7
