Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference,Cluster
2020-01-06,362.0,320.0,362.0,,Resistance,362.0,110.0,252.0,3.6651897810158873,202.44285714285715,43.53311898979433,1
2020-01-23,270.0,242.0,270.0,242.0,Resistance,270.0,110.0,160.0,1.551856251627194,202.44285714285715,43.53311898979433,1
2020-01-27,270.0,260.0,270.0,,Resistance,270.0,110.0,160.0,1.551856251627194,202.44285714285715,43.53311898979433,1
2020-02-05,210.0,154.0,210.0,154.0,Resistance,210.0,110.0,100.0,0.1735952541997853,202.44285714285715,43.53311898979433,1
2020-02-11,199.0,195.0,199.0,,Resistance,199.0,110.0,89.0,-0.0790859286619062,202.44285714285715,43.53311898979433,0
2020-02-14,199.0,164.0,199.0,164.0,Resistance,199.0,110.0,89.0,-0.0790859286619062,202.44285714285715,43.53311898979433,0
2020-02-19,300.0,244.0,300.0,,Resistance,300.0,110.0,190.0,2.2409867503408982,202.44285714285715,43.53311898979433,1
2020-02-28,296.0,230.0,296.0,230.0,Resistance,296.0,110.0,186.0,2.149102683845738,202.44285714285715,43.53311898979433,1
2020-03-05,282.0,252.0,282.0,,Resistance,282.0,110.0,172.0,1.827508451112676,202.44285714285715,43.53311898979433,1
2020-03-10,268.0,250.0,268.0,,Resistance,268.0,110.0,158.0,1.5059142183796137,202.44285714285715,43.53311898979433,1
2020-03-23,240.0,196.0,240.0,,Resistance,240.0,110.0,130.0,0.8627257529134896,202.44285714285715,43.53311898979433,1
2020-03-26,264.0,184.0,264.0,184.0,Resistance,264.0,110.0,154.0,1.4140301518844531,202.44285714285715,43.53311898979433,1
2020-04-01,262.0,242.0,262.0,,Resistance,262.0,110.0,152.0,1.3680881186368727,202.44285714285715,43.53311898979433,1
2020-04-06,262.0,250.0,262.0,,Resistance,262.0,110.0,152.0,1.3680881186368727,202.44285714285715,43.53311898979433,1
2020-04-15,276.0,240.0,276.0,,Resistance,276.0,110.0,166.0,1.6896823513699348,202.44285714285715,43.53311898979433,1
2020-04-20,256.0,232.0,256.0,,Resistance,256.0,110.0,146.0,1.230262018894132,202.44285714285715,43.53311898979433,1
2020-04-27,250.0,216.0,250.0,,Resistance,250.0,110.0,140.0,1.092435919151391,202.44285714285715,43.53311898979433,1
2020-05-04,240.0,216.0,240.0,,Resistance,240.0,110.0,130.0,0.8627257529134896,202.44285714285715,43.53311898979433,1
2020-05-08,260.0,194.0,260.0,194.0,Resistance,260.0,110.0,150.0,1.3221460853892926,202.44285714285715,43.53311898979433,1
2020-05-12,232.0,208.0,232.0,,Resistance,232.0,110.0,122.0,0.6789576199231685,202.44285714285715,43.53311898979433,1
2020-05-14,250.0,202.0,250.0,202.0,Resistance,250.0,110.0,140.0,1.092435919151391,202.44285714285715,43.53311898979433,1
2020-05-20,260.0,220.0,260.0,,Resistance,260.0,110.0,150.0,1.3221460853892926,202.44285714285715,43.53311898979433,1
2020-06-04,266.0,230.0,266.0,,Resistance,266.0,110.0,156.0,1.4599721851320335,202.44285714285715,43.53311898979433,1
2020-06-08,252.0,230.0,252.0,,Resistance,252.0,110.0,142.0,1.1383779523989714,202.44285714285715,43.53311898979433,1
2020-06-11,258.0,230.0,258.0,,Resistance,258.0,110.0,148.0,1.2762040521417122,202.44285714285715,43.53311898979433,1
2020-06-17,274.0,256.0,274.0,,Resistance,274.0,110.0,164.0,1.6437403181223549,202.44285714285715,43.53311898979433,1
2020-06-19,264.0,250.0,264.0,,Resistance,264.0,110.0,154.0,1.4140301518844531,202.44285714285715,43.53311898979433,1
2020-06-26,262.0,242.0,262.0,,Resistance,262.0,110.0,152.0,1.3680881186368727,202.44285714285715,43.53311898979433,1
2020-07-01,278.0,250.0,278.0,,Resistance,278.0,110.0,168.0,1.7356243846175152,202.44285714285715,43.53311898979433,1
2020-07-03,262.0,226.0,262.0,,Resistance,262.0,110.0,152.0,1.3680881186368727,202.44285714285715,43.53311898979433,1
2020-07-07,246.0,220.0,246.0,,Resistance,246.0,110.0,136.0,1.0005518526562305,202.44285714285715,43.53311898979433,1
2020-07-20,254.0,226.0,254.0,226.0,Resistance,254.0,110.0,144.0,1.1843199856465516,202.44285714285715,43.53311898979433,1
2020-07-23,254.0,244.0,254.0,,Resistance,254.0,110.0,144.0,1.1843199856465516,202.44285714285715,43.53311898979433,1
2020-07-27,256.0,220.0,256.0,,Resistance,256.0,110.0,146.0,1.230262018894132,202.44285714285715,43.53311898979433,1
2020-08-04,230.0,200.0,230.0,200.0,Resistance,230.0,110.0,120.0,0.6330155866755882,202.44285714285715,43.53311898979433,1
2020-08-06,234.0,210.0,234.0,,Resistance,234.0,110.0,124.0,0.7248996531707488,202.44285714285715,43.53311898979433,1
2020-08-11,252.0,252.0,252.0,,Resistance,252.0,110.0,142.0,1.1383779523989714,202.44285714285715,43.53311898979433,1
2020-08-19,224.0,199.0,224.0,,Resistance,224.0,110.0,114.0,0.4951894869328473,202.44285714285715,43.53311898979433,1
2020-08-27,218.0,197.0,218.0,,Resistance,218.0,110.0,108.0,0.3573633871901065,202.44285714285715,43.53311898979433,1
2020-09-02,220.0,204.0,220.0,,Resistance,220.0,110.0,110.0,0.4033054204376868,202.44285714285715,43.53311898979433,1
2020-09-14,208.0,179.0,208.0,179.0,Resistance,208.0,110.0,98.0,0.127653220952205,202.44285714285715,43.53311898979433,1
2020-09-17,210.0,198.0,210.0,,Resistance,210.0,110.0,100.0,0.1735952541997853,202.44285714285715,43.53311898979433,1
2020-09-22,228.0,179.0,228.0,179.0,Resistance,228.0,110.0,118.0,0.5870735534280079,202.44285714285715,43.53311898979433,1
2020-09-25,208.0,187.0,208.0,,Resistance,208.0,110.0,98.0,0.127653220952205,202.44285714285715,43.53311898979433,1
2020-10-07,212.0,208.0,212.0,,Resistance,212.0,110.0,102.0,0.2195372874473656,202.44285714285715,43.53311898979433,1
2020-10-12,220.0,220.0,220.0,,Resistance,220.0,110.0,110.0,0.4033054204376868,202.44285714285715,43.53311898979433,1
2020-10-20,220.0,197.0,220.0,,Resistance,220.0,110.0,110.0,0.4033054204376868,202.44285714285715,43.53311898979433,1
2020-10-27,216.0,196.0,216.0,,Resistance,216.0,110.0,106.0,0.3114213539425262,202.44285714285715,43.53311898979433,1
2020-11-05,218.0,206.0,218.0,,Resistance,218.0,110.0,108.0,0.3573633871901065,202.44285714285715,43.53311898979433,1
2020-11-09,220.0,210.0,220.0,,Resistance,220.0,110.0,110.0,0.4033054204376868,202.44285714285715,43.53311898979433,1
2020-11-11,214.0,199.0,214.0,199.0,Resistance,214.0,110.0,104.0,0.2654793206949459,202.44285714285715,43.53311898979433,1
2020-11-20,220.0,200.0,220.0,,Resistance,220.0,110.0,110.0,0.4033054204376868,202.44285714285715,43.53311898979433,1
2020-11-24,218.0,206.0,218.0,,Resistance,218.0,110.0,108.0,0.3573633871901065,202.44285714285715,43.53311898979433,1
2020-12-01,226.0,200.0,226.0,200.0,Resistance,226.0,110.0,116.0,0.5411315201804276,202.44285714285715,43.53311898979433,1
