Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih,Z_Score,Mean_Reference,Std_Reference,Cluster
2020-02-12,3010.0,3010.0,3010.0,,Resistance,3010.0,1100.0,1910.0,2.0595076557946563,2169.268292682927,408.2197533724042,7.0
2020-05-19,2900.0,2900.0,2900.0,,Resistance,2900.0,1100.0,1800.0,1.7900449482914969,2169.268292682927,408.2197533724042,1.0
2020-07-24,2940.0,2930.0,2940.0,,Resistance,2940.0,1100.0,1840.0,1.8880313873835548,2169.268292682927,408.2197533724042,1.0
2020-11-02,2960.0,2950.0,2960.0,,Resistance,2960.0,1100.0,1860.0,1.937024606929584,2169.268292682927,408.2197533724042,1.0
2020-11-05,2960.0,2950.0,2960.0,,Resistance,2960.0,1100.0,1860.0,1.937024606929584,2169.268292682927,408.2197533724042,1.0
2020-11-17,2830.0,2800.0,2830.0,,Resistance,2830.0,1100.0,1730.0,1.6185686798803955,2169.268292682927,408.2197533724042,1.0
2020-11-27,3070.0,2840.0,3070.0,,Resistance,3070.0,1100.0,1970.0,2.206487314432743,2169.268292682927,408.2197533724042,7.0
2020-12-22,2590.0,2560.0,2590.0,,Resistance,2590.0,1100.0,1490.0,1.0306500453280478,2169.268292682927,408.2197533724042,4.0
2021-01-06,2550.0,2510.0,2550.0,,Resistance,2550.0,1100.0,1450.0,0.93266360623599,2169.268292682927,408.2197533724042,4.0
2021-01-12,2350.0,2270.0,2350.0,,Resistance,2350.0,1100.0,1250.0,0.4427314107757003,2169.268292682927,408.2197533724042,6.0
2021-01-19,2250.0,2200.0,2250.0,,Resistance,2250.0,1100.0,1150.0,0.1977653130455554,2169.268292682927,408.2197533724042,6.0
2021-02-10,2150.0,2000.0,2150.0,,Resistance,2150.0,1100.0,1050.0,-0.0472007846845894,2169.268292682927,408.2197533724042,3.0
2021-02-22,2150.0,2010.0,2150.0,,Resistance,2150.0,1100.0,1050.0,-0.0472007846845894,2169.268292682927,408.2197533724042,3.0
2021-02-24,2100.0,1930.0,2100.0,1930.0,Resistance,2100.0,1100.0,1000.0,-0.1696838335496618,2169.268292682927,408.2197533724042,0.0
2021-03-08,2100.0,1975.0,2100.0,,Resistance,2100.0,1100.0,1000.0,-0.1696838335496618,2169.268292682927,408.2197533724042,0.0
2021-03-15,2050.0,1975.0,2050.0,1975.0,Resistance,2050.0,1100.0,950.0,-0.2921668824147342,2169.268292682927,408.2197533724042,0.0
2021-03-19,2100.0,1990.0,2100.0,,Resistance,2100.0,1100.0,1000.0,-0.1696838335496618,2169.268292682927,408.2197533724042,0.0
2021-04-07,2080.0,1925.0,2080.0,1925.0,Resistance,2080.0,1100.0,980.0,-0.2186770530956908,2169.268292682927,408.2197533724042,0.0
2021-04-19,2100.0,2100.0,2100.0,,Resistance,2100.0,1100.0,1000.0,-0.1696838335496618,2169.268292682927,408.2197533724042,0.0
2021-05-07,2000.0,2000.0,2000.0,,Resistance,2000.0,1100.0,900.0,-0.4146499312798066,2169.268292682927,408.2197533724042,8.0
2021-06-04,2000.0,1995.0,2000.0,,Resistance,2000.0,1100.0,900.0,-0.4146499312798066,2169.268292682927,408.2197533724042,8.0
2021-06-08,2000.0,1990.0,2000.0,,Resistance,2000.0,1100.0,900.0,-0.4146499312798066,2169.268292682927,408.2197533724042,8.0
2021-06-10,2020.0,1995.0,2020.0,,Resistance,2020.0,1100.0,920.0,-0.3656567117337777,2169.268292682927,408.2197533724042,8.0
2021-06-25,2000.0,1985.0,2000.0,,Resistance,2000.0,1100.0,900.0,-0.4146499312798066,2169.268292682927,408.2197533724042,8.0
2021-07-19,2000.0,1975.0,2000.0,,Resistance,2000.0,1100.0,900.0,-0.4146499312798066,2169.268292682927,408.2197533724042,8.0
2021-07-22,2000.0,1950.0,2000.0,,Resistance,2000.0,1100.0,900.0,-0.4146499312798066,2169.268292682927,408.2197533724042,8.0
2021-12-07,2000.0,1830.0,2000.0,1830.0,Resistance,2000.0,1100.0,900.0,-0.4146499312798066,2169.268292682927,408.2197533724042,8.0
2022-01-18,2000.0,1925.0,2000.0,1925.0,Resistance,2000.0,1100.0,900.0,-0.4146499312798066,2169.268292682927,408.2197533724042,8.0
2022-02-03,2020.0,1855.0,2020.0,1855.0,Resistance,2020.0,1100.0,920.0,-0.3656567117337777,2169.268292682927,408.2197533724042,8.0
2022-03-21,2020.0,2020.0,2020.0,,Resistance,2020.0,1100.0,920.0,-0.3656567117337777,2169.268292682927,408.2197533724042,8.0
2022-04-12,1835.0,1700.0,1835.0,1700.0,Resistance,1835.0,1100.0,735.0,-0.8188439925345457,2169.268292682927,408.2197533724042,5.0
2022-04-21,1750.0,1620.0,1750.0,1620.0,Resistance,1750.0,1100.0,650.0,-1.0270651756051687,2169.268292682927,408.2197533724042,2.0
2022-04-27,1855.0,1820.0,1855.0,,Resistance,1855.0,1100.0,755.0,-0.7698507729885167,2169.268292682927,408.2197533724042,5.0
2022-06-16,1905.0,1900.0,1905.0,,Resistance,1905.0,1100.0,805.0,-0.6473677241234442,2169.268292682927,408.2197533724042,5.0
2022-07-20,1975.0,1880.0,1975.0,,Resistance,1975.0,1100.0,875.0,-0.4758914557123428,2169.268292682927,408.2197533724042,8.0
2022-07-26,1985.0,1960.0,1985.0,,Resistance,1985.0,1100.0,885.0,-0.4513948459393284,2169.268292682927,408.2197533724042,8.0
2022-11-16,1635.0,1625.0,1635.0,,Resistance,1635.0,1100.0,535.0,-1.3087761879948354,2169.268292682927,408.2197533724042,2.0
2022-11-21,1615.0,1565.0,1615.0,,Resistance,1615.0,1100.0,515.0,-1.3577694075408644,2169.268292682927,408.2197533724042,2.0
2022-12-20,1720.0,1675.0,1720.0,,Resistance,1720.0,1100.0,620.0,-1.1005550049242123,2169.268292682927,408.2197533724042,2.0
2022-12-22,1640.0,1625.0,1640.0,,Resistance,1640.0,1100.0,540.0,-1.296527883108328,2169.268292682927,408.2197533724042,2.0
2023-01-12,1725.0,1725.0,1725.0,,Resistance,1725.0,1100.0,625.0,-1.088306700037705,2169.268292682927,408.2197533724042,2.0
