Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,127,134,131,3.61,19,131.0,0.1909,110.0,94.57,1
Resistance,180,189,184,4.72,47,184.0,0.6727,110.0,68.84,2
Resistance,140,149,145,4.45,14,145.0,0.3182,110.0,42.66,3
Resistance,202,211,206,4.87,33,206.0,0.8727,110.0,37.38,4
Resistance,218,229,223,5.49,35,223.0,1.0273,110.0,33.74,5
Resistance,156,169,163,6.68,13,163.0,0.4818,110.0,26.43,6
Resistance,241,252,247,5.39,23,247.0,1.2455,110.0,18.32,7
Resistance,259,269,264,5.29,18,264.0,1.4,110.0,12.77,8
Resistance,277,297,287,9.86,6,287.0,1.6091,110.0,3.71,9
Resistance,362,362,362,0.0,1,362.0,2.2909,110.0,0.43,10
Support,83,83,83,0.0,1,83.0,0.2455,110.0,3.91,1
