Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,188,286,237,48.7,30,237.0,0.4277,166.0,68.54,1
Resistance,860,999,930,69.38,22,930.0,4.6024,166.0,4.77,2
Resistance,1430,1558,1494,63.82,28,1494.0,8.0,166.0,3.5,3
Resistance,1698,1845,1772,73.15,25,1772.0,9.6747,166.0,2.58,4
Resistance,1199,1318,1258,59.57,14,1258.0,6.5783,166.0,2.12,5
Resistance,2007,2337,2172,164.91,9,2172.0,12.0843,166.0,0.74,6
Resistance,3572,3727,3649,77.4,12,3649.0,20.9819,166.0,0.57,7
Resistance,3966,4374,4170,204.06,6,4170.0,24.1205,166.0,0.25,8
Resistance,2726,3114,2920,194.42,4,2920.0,16.5904,166.0,0.24,9
Resistance,7070,7105,7087,17.68,2,7087.0,41.6928,166.0,0.05,10
Support,165,165,165,0.0,1,165.0,0.006,166.0,62.41,1
Support,160,160,160,0.0,2,160.0,0.0361,166.0,43.34,2
Support,157,157,157,0.0,2,157.0,0.0542,166.0,31.14,3
Support,145,145,145,0.0,1,145.0,0.1265,166.0,7.33,4
Support,135,135,135,0.0,1,135.0,0.1867,166.0,5.08,5
Support,133,133,133,0.0,1,133.0,0.1988,166.0,4.79,6
Support,130,130,130,0.0,1,130.0,0.2169,166.0,4.41,7
Support,124,124,124,0.0,1,124.0,0.253,166.0,3.8,8
Support,105,105,105,0.0,1,105.0,0.3675,166.0,2.65,9
