Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,60,63,61,1.66,13,61.0,0.0702,57.0,162.14,1
Resistance,66,68,67,1.11,16,67.0,0.1754,57.0,86.28,2
Resistance,70,73,72,1.05,6,72.0,0.2632,57.0,21.97,3
Resistance,77,79,78,1.0,5,78.0,0.3684,57.0,13.21,4
Resistance,86,91,88,2.17,6,88.0,0.5439,57.0,10.83,5
Resistance,80,81,81,0.58,3,81.0,0.4211,57.0,6.96,6
Resistance,93,95,94,1.41,4,94.0,0.6491,57.0,6.07,7
Resistance,108,111,110,1.48,5,110.0,0.9298,57.0,5.32,8
Resistance,102,106,104,2.06,4,104.0,0.8246,57.0,4.79,9
Resistance,123,131,127,4.04,3,127.0,1.2281,57.0,2.42,10
Support,56,56,56,0.0,2,56.0,0.0175,57.0,72.61,1
Support,50,50,50,0.0,8,50.0,0.1228,57.0,60.24,2
Support,53,53,53,0.0,3,53.0,0.0702,57.0,37.42,3
Support,55,55,55,0.0,1,55.0,0.0351,57.0,22.18,4
Support,52,52,52,0.0,2,52.0,0.0877,57.0,20.47,5
Support,51,51,51,0.0,1,51.0,0.1053,57.0,8.68,6
