Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,352,418,385,33.02,42,385.0,0.2419,310.0,166.71,1
Resistance,485,515,500,14.81,28,500.0,0.6129,310.0,44.95,2
Resistance,556,596,576,19.93,15,576.0,0.8581,310.0,17.28,3
Resistance,642,692,667,24.71,13,667.0,1.1516,310.0,11.19,4
Resistance,863,921,892,29.0,14,892.0,1.8774,310.0,7.42,5
Resistance,1107,1242,1174,67.31,17,1174.0,2.7871,310.0,6.08,6
Resistance,751,819,785,34.4,7,785.0,1.5323,310.0,4.54,7
Resistance,1285,1436,1361,75.66,6,1361.0,3.3903,310.0,1.76,8
Resistance,1540,1702,1621,80.73,5,1621.0,4.229,310.0,1.18,9
Resistance,1890,1890,1890,0.0,1,1890.0,5.0968,310.0,0.2,10
Support,300,300,300,0.0,2,300.0,0.0323,310.0,47.33,1
Support,246,246,246,0.0,2,246.0,0.2065,310.0,9.24,2
Support,258,258,258,0.0,1,258.0,0.1677,310.0,5.63,3
Support,256,256,256,0.0,1,256.0,0.1742,310.0,5.43,4
Support,242,242,242,0.0,1,242.0,0.2194,310.0,4.36,5
Support,230,230,230,0.0,1,230.0,0.2581,310.0,3.73,6
Support,216,216,216,0.0,1,216.0,0.3032,310.0,3.19,7
