Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,329,329,329,0.0,1,329.0,0.104,298.0,8.77,1
Resistance,332,332,332,0.0,1,332.0,0.1141,298.0,8.06,2
Resistance,352,352,352,0.0,1,352.0,0.1812,298.0,5.23,3
Resistance,354,354,354,0.0,1,354.0,0.1879,298.0,5.05,4
Support,172,192,182,9.86,49,182.0,0.3893,298.0,122.73,1
Support,35,43,39,3.62,55,39.0,0.8691,298.0,62.56,2
Support,203,222,212,9.36,16,212.0,0.2886,298.0,53.59,3
Support,17,25,21,3.96,33,21.0,0.9295,298.0,35.12,4
Support,292,292,292,0.0,1,292.0,0.0201,298.0,33.18,5
Support,48,63,56,7.46,8,56.0,0.8121,298.0,9.73,6
Support,119,151,135,15.56,2,135.0,0.547,298.0,3.59,7
