Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,405,427,416,11.36,7,416.0,0.094,380.26123046875,67.32,1
Resistance,379,399,389,9.55,2,389.0,0.023,380.26123046875,60.64,2
Resistance,528,555,541,13.45,6,541.0,0.4227,380.26123046875,13.87,3
Resistance,474,498,486,12.14,3,486.0,0.2781,380.26123046875,10.41,4
Resistance,568,590,579,11.32,5,579.0,0.5226,380.26123046875,9.39,5
Resistance,618,618,618,0.0,1,618.0,0.6252,380.26123046875,1.57,6
Resistance,656,656,656,0.0,1,656.0,0.7251,380.26123046875,1.36,7
Support,300,349,325,24.6,18,325.0,0.1453,380.26123046875,115.89,1
Support,252,284,268,16.14,26,268.0,0.2952,380.26123046875,85.18,2
Support,79,97,88,8.59,57,88.0,0.7686,380.26123046875,73.21,3
Support,163,175,169,5.83,19,169.0,0.5556,380.26123046875,33.59,4
Support,108,124,116,8.03,22,116.0,0.6949,380.26123046875,31.21,5
Support,143,157,150,6.87,16,150.0,0.6055,380.26123046875,25.99,6
Support,181,205,193,11.84,13,193.0,0.4925,380.26123046875,25.87,7
