Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,115,119,117,2.42,13,117.0,0.1584,101.0,77.19,1
Resistance,106,113,110,3.35,7,110.0,0.0891,101.0,70.63,2
Resistance,153,159,156,3.13,14,156.0,0.5446,101.0,25.25,3
Resistance,126,137,131,5.32,7,131.0,0.297,101.0,22.8,4
Resistance,145,149,147,2.28,6,147.0,0.4554,101.0,12.89,5
Resistance,181,186,184,2.57,10,184.0,0.8218,101.0,12.02,6
Resistance,163,169,166,2.77,5,166.0,0.6436,101.0,7.65,7
Resistance,191,201,196,5.0,5,196.0,0.9406,101.0,5.26,8
Resistance,234,234,234,0.0,1,234.0,1.3168,101.0,0.75,9
Support,99,99,99,0.0,1,99.0,0.0198,101.0,33.55,1
Support,86,86,86,0.0,1,86.0,0.1485,101.0,6.31,2
Support,84,84,84,0.0,1,84.0,0.1683,101.0,5.61,3
Support,83,83,83,0.0,1,83.0,0.1782,101.0,5.31,4
Support,81,81,81,0.0,1,81.0,0.198,101.0,4.81,5
Support,79,79,79,0.0,1,79.0,0.2178,101.0,4.39,6
Support,76,76,76,0.0,1,76.0,0.2475,101.0,3.88,7
Support,51,51,51,0.0,1,51.0,0.495,101.0,1.98,8
