Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,374,395,385,10.27,12,385.0,0.0517,366.0598754882813,194.36,1
Resistance,410,428,419,8.75,13,419.0,0.1446,366.0598754882813,84.08,2
Resistance,448,470,459,11.06,14,459.0,0.2539,366.0598754882813,53.05,3
Resistance,485,502,494,8.45,12,494.0,0.3495,366.0598754882813,33.38,4
Resistance,514,532,523,8.8,9,523.0,0.4287,366.0598754882813,20.51,5
Resistance,612,638,625,12.76,12,625.0,0.7074,366.0598754882813,16.73,6
Resistance,561,588,574,13.86,3,574.0,0.568,366.0598754882813,5.19,7
Resistance,662,682,672,10.37,4,672.0,0.8358,366.0598754882813,4.73,8
Resistance,743,750,747,3.39,2,747.0,1.0406,366.0598754882813,1.9,9
Support,347,361,354,7.07,7,354.0,0.0329,366.0598754882813,163.0,1
Support,176,184,180,4.19,35,180.0,0.5083,366.0598754882813,67.53,2
Support,266,275,270,4.85,18,270.0,0.2624,366.0598754882813,66.08,3
Support,248,255,252,3.53,17,252.0,0.3116,366.0598754882813,52.86,4
Support,295,308,301,6.59,6,301.0,0.1777,366.0598754882813,31.96,5
Support,218,224,221,2.62,9,221.0,0.3963,366.0598754882813,22.15,6
Support,191,201,196,4.99,9,196.0,0.4646,366.0598754882813,18.96,7
Support,230,236,233,3.11,7,233.0,0.3635,366.0598754882813,18.74,8
Support,138,151,144,6.84,5,144.0,0.6066,366.0598754882813,8.11,9
