Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,10,11,11,0.58,3,11.0,0.2222,9.0,12.92,1
Resistance,55,76,65,10.4,15,65.0,6.2222,9.0,2.41,2
Resistance,107,136,122,14.34,4,122.0,12.5556,9.0,0.32,3
Resistance,217,229,223,6.11,3,223.0,23.7778,9.0,0.13,4
Resistance,164,164,164,0.0,1,164.0,17.2222,9.0,0.06,5
Resistance,194,194,194,0.0,1,194.0,20.5556,9.0,0.05,6
Resistance,398,414,406,8.49,2,406.0,44.1111,9.0,0.05,6
Resistance,320,320,320,0.0,1,320.0,34.5556,9.0,0.03,8
Resistance,364,364,364,0.0,1,364.0,39.4444,9.0,0.03,8
Support,8,8,8,0.0,5,8.0,0.1111,9.0,41.28,1
Support,7,7,7,0.0,3,7.0,0.2222,9.0,12.92,2
