Emiten,Pantulan_Tepat,Zona_Jebol,Pantulan_Terlewat,Abaikan_Valid,Accuracy,Precision,Recall,F1_Score
ADRO,60,26,127,257,0.6745,0.6977,0.3209,0.4396
AKRA,12,5,160,294,0.6497,0.7059,0.0698,0.127
APEX,47,13,152,259,0.6497,0.7833,0.2362,0.3629
ARII,84,35,158,193,0.5894,0.7059,0.3471,0.4654
BBRM,38,16,209,207,0.5213,0.7037,0.1538,0.2525
BIPI,0,2,230,238,0.5064,0.0,0.0,0.0
BULL,10,32,180,247,0.548,0.2381,0.0526,0.0862
BUMI,74,15,139,243,0.673,0.8315,0.3474,0.4901
CNKO,54,3,217,197,0.5329,0.9474,0.1993,0.3293
DEWA,11,15,168,277,0.6115,0.4231,0.0615,0.1073
DOID,36,30,147,258,0.6242,0.5455,0.1967,0.2892
DSSA,0,0,161,308,0.6567,0.0,0.0,0.0
DWGL,3,0,209,258,0.5553,1.0,0.0142,0.0279
ELSA,27,12,172,258,0.6077,0.6923,0.1357,0.2269
ENRG,43,21,136,271,0.6667,0.6719,0.2402,0.3539
FIRE,15,7,189,259,0.583,0.6818,0.0735,0.1327
HRUM,88,28,130,225,0.6645,0.7586,0.4037,0.5269
IATA,29,13,298,129,0.3369,0.6905,0.0887,0.1572
INDY,70,62,114,225,0.6263,0.5303,0.3804,0.443
INPS,19,6,166,278,0.6333,0.76,0.1027,0.181
ITMA,1,0,166,302,0.6461,1.0,0.006,0.0119
ITMG,89,48,99,235,0.6879,0.6496,0.4734,0.5477
KKGI,78,30,152,211,0.6136,0.7222,0.3391,0.4615
LEAD,20,13,192,244,0.5629,0.6061,0.0943,0.1633
MBSS,4,7,179,279,0.6034,0.3636,0.0219,0.0412
MEDC,14,16,147,292,0.6525,0.4667,0.087,0.1466
MTFN,153,3,212,103,0.5435,0.9808,0.4192,0.5873
PGAS,37,6,143,284,0.683,0.8605,0.2056,0.3318
PTBA,68,14,161,228,0.6285,0.8293,0.2969,0.4373
PTRO,6,6,133,326,0.7049,0.5,0.0432,0.0795
RAJA,0,0,129,340,0.7249,0.0,0.0,0.0
RUIS,51,17,163,238,0.6162,0.75,0.2383,0.3617
SOCI,59,28,168,216,0.5839,0.6782,0.2599,0.3758
SURE,0,2,177,290,0.6183,0.0,0.0,0.0
TAMU,22,9,292,147,0.3596,0.7097,0.0701,0.1275
TCPI,50,28,142,251,0.6391,0.641,0.2604,0.3704
TEBE,50,9,200,212,0.5563,0.8475,0.2,0.3236
TOBA,48,21,128,272,0.6823,0.6957,0.2727,0.3918
TPMA,86,30,175,180,0.5648,0.7414,0.3295,0.4562
WINS,85,37,134,213,0.6354,0.6967,0.3881,0.4985
WOWS,35,9,239,186,0.4712,0.7955,0.1277,0.2201
