Tanggal,High,Low,Pivot_High,Pivot_Low,Type,Level,Current_Price,Selisih
2020-05-29,79.97393035888672,67.77452087402344,79.97393035888672,,Resistance,79.97393035888672,62.0,17.97393035888672
2021-01-08,70.48550415039062,67.77452087402344,70.48550415039062,,Resistance,70.48550415039062,62.0,8.485504150390625
2021-06-10,74.55197143554688,67.77452087402344,74.55197143554688,,Resistance,74.55197143554688,62.0,12.551971435546875
2021-07-09,85.3958969116211,67.77452087402344,85.3958969116211,,Resistance,85.3958969116211,62.0,23.395896911621094
2021-07-16,69.13001251220703,67.77452087402344,69.13001251220703,,Resistance,69.13001251220703,62.0,7.130012512207031
2021-09-30,75.90746307373047,67.77452087402344,75.90746307373047,,Resistance,75.90746307373047,62.0,13.907463073730469
2021-12-17,69.13001251220703,67.77452087402344,69.13001251220703,,Resistance,69.13001251220703,62.0,7.130012512207031
2022-02-09,81.32942199707031,67.77452087402344,81.32942199707031,,Resistance,81.32942199707031,62.0,19.329421997070312
2022-02-18,67.77455139160156,63.25625228881836,67.77455139160156,,Resistance,67.77455139160156,62.0,5.7745513916015625
2022-02-23,56.0269660949707,52.41232299804688,,52.41232299804688,Support,52.41232299804688,62.0,-9.587677001953118
2022-02-24,71.0,55.0,71.0,,Resistance,71.0,62.0,9.0
2022-09-27,66.0,56.0,66.0,,Resistance,66.0,62.0,4.0
2022-09-30,58.0,51.0,,51.0,Support,51.0,62.0,-11.0
2022-10-05,53.0,50.0,,50.0,Support,50.0,62.0,-12.0
2022-10-07,53.0,50.0,,50.0,Support,50.0,62.0,-12.0
2022-11-09,63.0,54.0,63.0,,Resistance,63.0,62.0,1.0
2022-11-16,56.0,53.0,,53.0,Support,53.0,62.0,-9.0
2022-11-23,57.0,55.0,,55.0,Support,55.0,62.0,-7.0
2022-11-28,56.0,53.0,,53.0,Support,53.0,62.0,-9.0
2022-12-01,77.0,69.0,77.0,,Resistance,77.0,62.0,15.0
2022-12-07,81.0,57.0,,57.0,Support,57.0,62.0,-5.0
2022-12-08,84.0,63.0,84.0,,Resistance,84.0,62.0,22.0
2022-12-12,86.0,69.0,86.0,,Resistance,86.0,62.0,24.0
2022-12-15,97.0,83.0,97.0,,Resistance,97.0,62.0,35.0
2022-12-21,90.0,78.0,90.0,,Resistance,90.0,62.0,28.0
2022-12-27,85.0,76.0,85.0,,Resistance,85.0,62.0,23.0
2023-01-16,78.0,66.0,78.0,,Resistance,78.0,62.0,16.0
2023-01-25,66.0,62.0,66.0,,Resistance,66.0,62.0,4.0
2023-03-03,54.0,50.0,,50.0,Support,50.0,62.0,-12.0
2023-03-16,56.0,51.0,,51.0,Support,51.0,62.0,-11.0
2023-03-20,54.0,51.0,,51.0,Support,51.0,62.0,-11.0
2023-03-30,56.0,53.0,,53.0,Support,53.0,62.0,-9.0
2023-05-08,59.0,55.0,,55.0,Support,55.0,62.0,-7.0
2023-05-25,60.0,57.0,,57.0,Support,57.0,62.0,-5.0
2023-06-05,59.0,55.0,,55.0,Support,55.0,62.0,-7.0
2023-07-05,59.0,56.0,,56.0,Support,56.0,62.0,-6.0
2023-07-27,64.0,59.0,,59.0,Support,59.0,62.0,-3.0
2023-07-31,72.0,60.0,72.0,,Resistance,72.0,62.0,10.0
2023-08-01,66.0,59.0,,59.0,Support,59.0,62.0,-3.0
2023-08-08,65.0,62.0,65.0,,Resistance,65.0,62.0,3.0
2023-08-09,64.0,60.0,,60.0,Support,60.0,62.0,-2.0
2023-08-15,81.0,63.0,81.0,,Resistance,81.0,62.0,19.0
2023-08-25,79.0,69.0,79.0,,Resistance,79.0,62.0,17.0
2023-08-30,79.0,72.0,79.0,,Resistance,79.0,62.0,17.0
2023-09-06,76.0,69.0,76.0,,Resistance,76.0,62.0,14.0
2023-09-12,79.0,71.0,79.0,,Resistance,79.0,62.0,17.0
2023-09-15,92.0,74.0,92.0,,Resistance,92.0,62.0,30.0
2023-09-25,81.0,72.0,81.0,,Resistance,81.0,62.0,19.0
2023-09-29,79.0,75.0,79.0,,Resistance,79.0,62.0,17.0
2023-10-05,76.0,69.0,76.0,,Resistance,76.0,62.0,14.0
2023-10-10,78.0,70.0,78.0,,Resistance,78.0,62.0,16.0
2023-10-24,75.0,69.0,75.0,,Resistance,75.0,62.0,13.0
2023-10-31,78.0,67.0,78.0,,Resistance,78.0,62.0,16.0
2023-11-09,74.0,70.0,74.0,,Resistance,74.0,62.0,12.0
2023-11-13,74.0,69.0,74.0,,Resistance,74.0,62.0,12.0
2023-11-16,73.0,66.0,73.0,66.0,Resistance,73.0,62.0,11.0
2023-12-11,64.0,51.0,,51.0,Support,51.0,62.0,-11.0
2023-12-13,60.0,53.0,,53.0,Support,53.0,62.0,-9.0
2023-12-14,67.0,55.0,67.0,,Resistance,67.0,62.0,5.0
2023-12-21,75.0,59.0,75.0,,Resistance,75.0,62.0,13.0
